Instancia,N_Maquinas,N_Jobs,Total_Operacoes,Makespan_FIFO,Custo_FIFO,Makespan_SPT,Custo_SPT,Makespan_BT,Custo_BT
instancia_ft20_02,5,20,100,1557,28197.4,1074,21974,1099,21575.5
instancia_ft06_04,6,6,36,713,3257.18,660,3361.81,660,3361.81
instancia_la02_08,5,10,50,918,6216.37,704,5258.12,736,5235.17
instancia_abz8_06,15,20,300,5162,77503.1,3885,77812.1,3885,77666.5
instancia_abz9_04,15,20,300,5414,77594.5,3746,66527.5,3746,65690
instancia_abz6_01,10,10,100,1499,11614.1,1198,9746.33,1201,9567.48
instancia_abz9_08,15,20,300,4889,78522.4,3131,58213.7,3209,58065
instancia_la02_05,5,10,50,966,7940.59,638,5169.49,667,5068.2
instancia_la01_09,5,10,50,779,6530.38,598,5009.85,651,4977
instancia_abz7_03,15,20,300,5285,82774.8,3814,71829,3814,71829
instancia_abz9_01,15,20,300,5621,88605.1,3811,66490.2,3811,66490.2
instancia_abz9_03,15,20,300,5250,79419.9,3679,64594.7,3679,64594.7
instancia_la01_08,5,10,50,785,5802.55,734,6391.69,734,6391.69
instancia_ft10_06,10,10,100,1603,14150.2,1283,11326.5,1283,11326.5
instancia_la02_06,5,10,50,1022,10103.9,786,6804.03,786,5880.38
instancia_la02_04,5,10,50,770,6230.88,644,4668.94,672,4642.24
instancia_abz9_10,15,20,300,4485,74560.5,3595,63204.4,3621,63054
instancia_la01_01,5,10,50,744,5886.42,794,6934.8,794,6934.8
instancia_abz5_03,10,10,100,1827,13899.3,1519,12918.4,1519,12918.4
instancia_abz9_07,15,20,300,4909,77040.1,3175,54648,3175,54648
instancia_ft20_05,5,20,100,1448,22259.8,1104,22174.8,1121,21376.9
instancia_abz8_02,15,20,300,4685,73371.5,3318,57724.6,3334,57631.1
instancia_ft20_03,5,20,100,1630,24522.1,1313,21052.3,1313,21052.3
instancia_abz6_10,10,10,100,1369,9984.88,1376,13256.6,1376,13256.6
instancia_abz9_06,15,20,300,4470,66909,3550,69222.7,3550,69222.7
